04:38:46 [INFO] Opening target process: csgo.exe
00:39:28 [INFO] Found signature: model_ambient_min => 0x5A118C
00:39:28 [INFO] Found signature: set_abs_angles => 0x1E5090
00:39:28 [INFO] Found signature: set_abs_origin => 0x1E4ED0
00:39:28 [INFO] Found signature: is_c4_owner => 0x3E49A0
00:39:28 [INFO] Found signature: force_update_spectator_glow => 0x3D716A
00:39:28 [INFO] Found signature: anim_overlays => 0x2990
00:39:28 [INFO] Found signature: m_flSpawnTime => 0x103C0
00:39:28 [INFO] Found signature: find_hud_element => 0x2E88D9F0
00:39:28 [INFO] Found signature: m_bIsLocalPlayer => 0x3628
00:39:28 [INFO] Finished signature scanning: 58/58 items successful
00:39:28 [INFO] Starting netvar scanning: 95 items
00:39:28 [INFO] Found netvar: m_ArmorValue => 0x117CC
00:39:28 [INFO] Found netvar: m_Collision => 0x320
00:39:28 [INFO] Found netvar: m_CollisionGroup => 0x474
00:39:28 [INFO] Found netvar: m_Local => 0x2FCC
00:39:28 [INFO] Found netvar: m_MoveType => 0x25B
00:39:28 [INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31D4
00:39:28 [INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31D0
00:39:28 [INFO] Found netvar: m_aimPunchAngle => 0x303C
00:39:28 [INFO] Found netvar: m_aimPunchAngleVel => 0x3048
00:39:28 [INFO] Found netvar: m_bGunGameImmunity => 0x9990
00:39:28 [INFO] Found netvar: m_bHasDefuser => 0x117DC
00:39:28 [INFO] Found netvar: m_bHasHelmet => 0x117C0
00:39:28 [INFO] Found netvar: m_bInReload => 0x3248
00:39:28 [INFO] Found netvar: m_bIsDefusing => 0x997C
00:39:28 [INFO] Found netvar: m_bIsScoped => 0x9974
00:39:28 [INFO] Found netvar: m_bSpotted => 0x93D
00:39:28 [INFO] Found netvar: m_bSpottedByMask => 0x980
00:39:28 [INFO] Found netvar: m_dwBoneMatrix => 0x268C
00:39:28 [INFO] Found netvar: m_fAccuracyPenalty => 0x3340
00:39:28 [WARN] m_fSpread netvar failed!
00:39:28 [INFO] Found netvar: m_fFlags => 0x104
00:39:28 [INFO] Found netvar: m_hViewModel => 0x3308
00:39:28 [INFO] Found netvar: m_flFallbackWear => 0x31E0
00:39:28 [INFO] Found netvar: m_flFlashDuration => 0x10470
00:39:28 [INFO] Found netvar: m_flFlashMaxAlpha => 0x1046C
00:39:28 [INFO] Found netvar: m_flNextPrimaryAttack => 0x3248
00:39:28 [INFO] Found netvar: m_hActiveWeapon => 0x2F08
00:39:28 [INFO] Found netvar: m_hMyWeapons => 0x2F08
00:39:28 [INFO] Found netvar: m_hObserverTarget => 0x339C
00:39:28 [INFO] Found netvar: m_hOwner => 0x29DC
00:39:28 [INFO] Found netvar: m_hOwnerEntity => 0x14C
00:39:28 [INFO] Found netvar: m_iAccountID => 0x2FD8
00:39:28 [INFO] Found netvar: m_iClip1 => 0x3274
00:39:28 [INFO] Found netvar: m_zoomLevel => 0x33E0
00:39:28 [INFO] Found netvar: m_iCompetitiveRanking => 0x1A84
00:39:28 [INFO] Found netvar: m_iCompetitiveWins => 0x1B88
00:39:28 [INFO] Found netvar: m_iCrosshairId => 0x117DC
00:39:28 [INFO] Found netvar: m_iEntityQuality => 0x2FBC
00:39:28 [INFO] Found netvar: m_iFOVStart => 0x31F8
00:39:28 [INFO] Found netvar: m_iGlowIndex => 0x10470
00:39:28 [INFO] Found netvar: m_iHealth => 0x100
00:39:28 [INFO] Found netvar: m_iItemDefinitionIndex => 0x2FBA
00:39:28 [INFO] Found netvar: m_iItemIDHigh => 0x2FD0
00:39:28 [INFO] Found netvar: m_iObserverMode => 0x3388
00:39:28 [INFO] Found netvar: m_iShotsFired => 0x103E0
00:39:28 [INFO] Found netvar: m_iState => 0x3268
00:39:28 [INFO] Found netvar: m_iTeamNum => 0xF4
00:39:28 [INFO] Found netvar: m_lifeState => 0x25F
00:39:28 [INFO] Found netvar: m_nFallbackPaintKit => 0x31D8
00:39:28 [INFO] Found netvar: m_nFallbackSeed => 0x31DC
00:39:28 [INFO] Found netvar: m_nFallbackStatTrak => 0x31E4
00:39:28 [INFO] Found netvar: m_iDefaultFOV => 0x333C
00:39:28 [INFO] Found netvar: m_iFOV => 0x31F4
00:39:28 [INFO] Found netvar: m_nForceBone => 0x268C
00:39:28 [INFO] Found netvar: m_nTickBase => 0x3440
00:39:28 [INFO] Found netvar: m_rgflCoordinateFrame => 0x474
00:39:28 [INFO] Found netvar: m_szCustomName => 0x304C
00:39:28 [INFO] Found netvar: m_szLastPlaceName => 0x35C4
00:39:28 [INFO] Found netvar: m_vecOrigin => 0x138
00:39:28 [INFO] Found netvar: m_vecVelocity => 0x114
00:39:28 [INFO] Found netvar: m_vecViewOffset => 0x108
00:39:28 [INFO] Found netvar: m_viewPunchAngle => 0x3030
00:39:28 [INFO] Found netvar: m_thirdPersonViewAngles => 0x31E4
00:39:28 [INFO] Found netvar: m_clrRender => 0x70
00:39:28 [INFO] Found netvar: m_bBombTicking => 0x2990
00:39:28 [INFO] Found netvar: m_bBombDefused => 0x29C0
